ano,mes,cerrado
1999,1,188
1999,2,469
1999,3,82
1999,4,382
1999,5,856
1999,6,3465
1999,7,1757
1999,8,11933
1999,9,14455
1999,10,8354
1999,11,1434
1999,12,475
2000,1,266
2000,2,89
2000,3,114
2000,4,253
2000,5,914
2000,6,2556
2000,7,2530
2000,8,6995
2000,9,10117
2000,10,9038
2000,11,1149
2000,12,372
2001,1,182
2001,2,109
2001,3,69
2001,4,304
2001,5,713
2001,6,3606
2001,7,3242
2001,8,9541
2001,9,16623
2001,10,7702
2001,11,1834
2001,12,609
2002,1,368
2002,2,355
2002,3,391
2002,4,777
2002,5,1884
2002,6,4210
2002,7,7462
2002,8,17815
2002,9,30105
2002,10,16744
2002,11,5273
2002,12,1802
2003,1,654
2003,2,587
2003,3,472
2003,4,1052
2003,5,2475
2003,6,7079
2003,7,10477
2003,8,10140
2003,9,29227
2003,10,15008
2003,11,4763
2003,12,2179
2004,1,452
2004,2,376
2004,3,773
2004,4,970
2004,5,2975
2004,6,7047
2004,7,8804
2004,8,12473
2004,9,33509
2004,10,15148
2004,11,8243
2004,12,2792
2005,1,587
2005,2,869
2005,3,536
2005,4,1071
2005,5,1968
2005,6,3383
2005,7,7454
2005,8,14627
2005,9,24521
2005,10,23550
2005,11,5251
2005,12,1930
2006,1,1001
2006,2,413
2006,3,498
2006,4,584
2006,5,1650
2006,6,3415
2006,7,6442
2006,8,11705
2006,9,16566
2006,10,7524
2006,11,5274
2006,12,1808
2007,1,755
2007,2,402
2007,3,1118
2007,4,964
2007,5,2924
2007,6,7051
2007,7,10548
2007,8,35678
2007,9,49980
2007,10,22008
2007,11,4939
2007,12,1551
2008,1,421
2008,2,321
2008,3,339
2008,4,590
2008,5,1320
2008,6,2632
2008,7,5229
2008,8,8643
2008,9,15477
2008,10,17024
2008,11,5486
2008,12,1452
2009,1,676
2009,2,403
2009,3,461
2009,4,448
2009,5,836
2009,6,1641
2009,7,4224
2009,8,6492
2009,9,9851
2009,10,5526
2009,11,4195
2009,12,1146
2010,1,717
2010,2,751
2010,3,883
2010,4,1438
2010,5,2508
2010,6,6443
2010,7,12359
2010,8,35226
2010,9,52491
2010,10,14419
2010,11,4623
2010,12,1536
2011,1,456
2011,2,321
2011,3,308
2011,4,703
2011,5,1376
2011,6,3378
2011,7,5366
2011,8,11387
2011,9,26468
2011,10,7656
2011,11,2889
2011,12,1374
2012,1,421
2012,2,478
2012,3,764
2012,4,1092
2012,5,1896
2012,6,3817
2012,7,9362
2012,8,22737
2012,9,30053
2012,10,16515
2012,11,1830
2012,12,1635
2013,1,475
2013,2,604
2013,3,613
2013,4,706
2013,5,1418
2013,6,2684
2013,7,4761
2013,8,8496
2013,9,12615
2013,10,7696
2013,11,2370
2013,12,1579
2014,1,567
2014,2,315
2014,3,497
2014,4,897
2014,5,1673
2014,6,3849
2014,7,6220
2014,8,15525
2014,9,15523
2014,10,16357
2014,11,3085
2014,12,1363
2015,1,1096
2015,2,383
2015,3,528
2015,4,634
2015,5,1174
2015,6,3313
2015,7,4662
2015,8,12684
2015,9,23795
2015,10,19531
2015,11,4731
2015,12,2563
2016,1,392
2016,2,1048
2016,3,767
2016,4,1449
2016,5,1782
2016,6,3187
2016,7,8675
2016,8,13730
2016,9,13256
2016,10,9968
2016,11,3647
2016,12,932
2017,1,491
2017,2,376
2017,3,687
2017,4,696
2017,5,1428
2017,6,2858
2017,7,6258
2017,8,10815
2017,9,26975
2017,10,12393
2017,11,2345
2017,12,1440
2018,1,521
2018,2,235
2018,3,842
2018,4,549
2018,5,1729
2018,6,2922
2018,7,5220
2018,8,7992
2018,9,11467
2018,10,5041
2018,11,1763
2018,12,1168
2019,1,1213
2019,2,574
2019,3,936
2019,4,753
2019,5,1719
2019,6,4088
2019,7,5346
2019,8,12906
2019,9,22989
2019,10,8356
2019,11,3251
2019,12,1743
2020,1,662
2020,2,709
2020,3,890
2020,4,1158
2020,5,1481
2020,6,3487
2020,7,5663
2020,8,10155
2020,9,16109
