data,name,category,value
1998,Amazônia,ABRIL,0
1999,Amazônia,ABRIL,70
2000,Amazônia,ABRIL,92
2001,Amazônia,ABRIL,617
2002,Amazônia,ABRIL,405
2003,Amazônia,ABRIL,1038
2004,Amazônia,ABRIL,1012
2005,Amazônia,ABRIL,832
2006,Amazônia,ABRIL,709
2007,Amazônia,ABRIL,760
2008,Amazônia,ABRIL,569
2009,Amazônia,ABRIL,435
2010,Amazônia,ABRIL,633
2011,Amazônia,ABRIL,465
2012,Amazônia,ABRIL,473
2013,Amazônia,ABRIL,518
2014,Amazônia,ABRIL,632
2015,Amazônia,ABRIL,762
2016,Amazônia,ABRIL,1075
2017,Amazônia,ABRIL,618
2018,Amazônia,ABRIL,513
2019,Amazônia,ABRIL,1702
2020,Amazônia,ABRIL,789
1998,Pampa,ABRIL,0
1999,Pampa,ABRIL,10
2000,Pampa,ABRIL,1
2001,Pampa,ABRIL,2
2002,Pampa,ABRIL,2
2003,Pampa,ABRIL,63
2004,Pampa,ABRIL,121
2005,Pampa,ABRIL,61
2006,Pampa,ABRIL,111
2007,Pampa,ABRIL,60
2008,Pampa,ABRIL,135
2009,Pampa,ABRIL,168
2010,Pampa,ABRIL,67
2011,Pampa,ABRIL,77
2012,Pampa,ABRIL,36
2013,Pampa,ABRIL,57
2014,Pampa,ABRIL,50
2015,Pampa,ABRIL,142
2016,Pampa,ABRIL,23
2017,Pampa,ABRIL,41
2018,Pampa,ABRIL,57
2019,Pampa,ABRIL,50
2020,Pampa,ABRIL,335
1998,Caatinga,ABRIL,0
1999,Caatinga,ABRIL,63
2000,Caatinga,ABRIL,56
2001,Caatinga,ABRIL,30
2002,Caatinga,ABRIL,123
2003,Caatinga,ABRIL,187
2004,Caatinga,ABRIL,93
2005,Caatinga,ABRIL,65
2006,Caatinga,ABRIL,65
2007,Caatinga,ABRIL,129
2008,Caatinga,ABRIL,95
2009,Caatinga,ABRIL,54
2010,Caatinga,ABRIL,69
2011,Caatinga,ABRIL,116
2012,Caatinga,ABRIL,259
2013,Caatinga,ABRIL,71
2014,Caatinga,ABRIL,73
2015,Caatinga,ABRIL,86
2016,Caatinga,ABRIL,95
2017,Caatinga,ABRIL,49
2018,Caatinga,ABRIL,28
2019,Caatinga,ABRIL,28
2020,Caatinga,ABRIL,38
1998,Mata Atlântica,ABRIL,0
1999,Mata Atlântica,ABRIL,163
2000,Mata Atlântica,ABRIL,135
2001,Mata Atlântica,ABRIL,92
2002,Mata Atlântica,ABRIL,352
2003,Mata Atlântica,ABRIL,1263
2004,Mata Atlântica,ABRIL,692
2005,Mata Atlântica,ABRIL,551
2006,Mata Atlântica,ABRIL,781
2007,Mata Atlântica,ABRIL,569
2008,Mata Atlântica,ABRIL,489
2009,Mata Atlântica,ABRIL,660
2010,Mata Atlântica,ABRIL,387
2011,Mata Atlântica,ABRIL,254
2012,Mata Atlântica,ABRIL,609
2013,Mata Atlântica,ABRIL,488
2014,Mata Atlântica,ABRIL,317
2015,Mata Atlântica,ABRIL,371
2016,Mata Atlântica,ABRIL,732
2017,Mata Atlântica,ABRIL,261
2018,Mata Atlântica,ABRIL,490
2019,Mata Atlântica,ABRIL,276
2020,Mata Atlântica,ABRIL,1013
1998,Pantanal,ABRIL,0
1999,Pantanal,ABRIL,29
2000,Pantanal,ABRIL,1
2001,Pantanal,ABRIL,36
2002,Pantanal,ABRIL,24
2003,Pantanal,ABRIL,40
2004,Pantanal,ABRIL,68
2005,Pantanal,ABRIL,163
2006,Pantanal,ABRIL,19
2007,Pantanal,ABRIL,68
2008,Pantanal,ABRIL,28
2009,Pantanal,ABRIL,525
2010,Pantanal,ABRIL,87
2011,Pantanal,ABRIL,2
2012,Pantanal,ABRIL,38
2013,Pantanal,ABRIL,51
2014,Pantanal,ABRIL,55
2015,Pantanal,ABRIL,29
2016,Pantanal,ABRIL,34
2017,Pantanal,ABRIL,38
2018,Pantanal,ABRIL,19
2019,Pantanal,ABRIL,33
2020,Pantanal,ABRIL,784
1998,Cerrado,ABRIL,0
1999,Cerrado,ABRIL,382
2000,Cerrado,ABRIL,253
2001,Cerrado,ABRIL,304
2002,Cerrado,ABRIL,777
2003,Cerrado,ABRIL,1052
2004,Cerrado,ABRIL,970
2005,Cerrado,ABRIL,1071
2006,Cerrado,ABRIL,584
2007,Cerrado,ABRIL,964
2008,Cerrado,ABRIL,590
2009,Cerrado,ABRIL,448
2010,Cerrado,ABRIL,1438
2011,Cerrado,ABRIL,703
2012,Cerrado,ABRIL,1092
2013,Cerrado,ABRIL,706
2014,Cerrado,ABRIL,897
2015,Cerrado,ABRIL,634
2016,Cerrado,ABRIL,1449
2017,Cerrado,ABRIL,696
2018,Cerrado,ABRIL,549
2019,Cerrado,ABRIL,753
2020,Cerrado,ABRIL,1158
1998,Amazônia,AGOSTO,20075
1999,Amazônia,AGOSTO,21525
2000,Amazônia,AGOSTO,12791
2001,Amazônia,AGOSTO,17679
2002,Amazônia,AGOSTO,43484
2003,Amazônia,AGOSTO,34765
2004,Amazônia,AGOSTO,43320
2005,Amazônia,AGOSTO,63764
2006,Amazônia,AGOSTO,34208
2007,Amazônia,AGOSTO,46385
2008,Amazônia,AGOSTO,21445
2009,Amazônia,AGOSTO,9732
2010,Amazônia,AGOSTO,45018
2011,Amazônia,AGOSTO,8002
2012,Amazônia,AGOSTO,20687
2013,Amazônia,AGOSTO,9444
2014,Amazônia,AGOSTO,20113
2015,Amazônia,AGOSTO,20471
2016,Amazônia,AGOSTO,18340
2017,Amazônia,AGOSTO,21244
2018,Amazônia,AGOSTO,10421
2019,Amazônia,AGOSTO,30900
2020,Amazônia,AGOSTO,29307
1998,Pampa,AGOSTO,9
1999,Pampa,AGOSTO,7
2000,Pampa,AGOSTO,10
2001,Pampa,AGOSTO,24
2002,Pampa,AGOSTO,379
2003,Pampa,AGOSTO,736
2004,Pampa,AGOSTO,356
2005,Pampa,AGOSTO,241
2006,Pampa,AGOSTO,321
2007,Pampa,AGOSTO,231
2008,Pampa,AGOSTO,113
2009,Pampa,AGOSTO,373
2010,Pampa,AGOSTO,272
2011,Pampa,AGOSTO,130
2012,Pampa,AGOSTO,165
2013,Pampa,AGOSTO,189
2014,Pampa,AGOSTO,254
2015,Pampa,AGOSTO,86
2016,Pampa,AGOSTO,383
2017,Pampa,AGOSTO,233
2018,Pampa,AGOSTO,232
2019,Pampa,AGOSTO,446
2020,Pampa,AGOSTO,380
1998,Caatinga,AGOSTO,462
1999,Caatinga,AGOSTO,458
2000,Caatinga,AGOSTO,399
2001,Caatinga,AGOSTO,895
2002,Caatinga,AGOSTO,1252
2003,Caatinga,AGOSTO,1020
2004,Caatinga,AGOSTO,976
2005,Caatinga,AGOSTO,610
2006,Caatinga,AGOSTO,697
2007,Caatinga,AGOSTO,1878
2008,Caatinga,AGOSTO,433
2009,Caatinga,AGOSTO,292
2010,Caatinga,AGOSTO,1907
2011,Caatinga,AGOSTO,862
2012,Caatinga,AGOSTO,1829
2013,Caatinga,AGOSTO,561
2014,Caatinga,AGOSTO,907
2015,Caatinga,AGOSTO,1203
2016,Caatinga,AGOSTO,1504
2017,Caatinga,AGOSTO,795
2018,Caatinga,AGOSTO,1516
2019,Caatinga,AGOSTO,1304
2020,Caatinga,AGOSTO,838
1998,Mata Atlântica,AGOSTO,687
1999,Mata Atlântica,AGOSTO,2581
2000,Mata Atlântica,AGOSTO,1746
2001,Mata Atlântica,AGOSTO,1159
2002,Mata Atlântica,AGOSTO,6548
2003,Mata Atlântica,AGOSTO,9826
2004,Mata Atlântica,AGOSTO,5778
2005,Mata Atlântica,AGOSTO,5494
2006,Mata Atlântica,AGOSTO,6807
2007,Mata Atlântica,AGOSTO,5055
2008,Mata Atlântica,AGOSTO,3209
2009,Mata Atlântica,AGOSTO,4198
2010,Mata Atlântica,AGOSTO,6473
2011,Mata Atlântica,AGOSTO,3191
2012,Mata Atlântica,AGOSTO,2810
2013,Mata Atlântica,AGOSTO,2280
2014,Mata Atlântica,AGOSTO,3912
2015,Mata Atlântica,AGOSTO,2414
2016,Mata Atlântica,AGOSTO,4165
2017,Mata Atlântica,AGOSTO,3201
2018,Mata Atlântica,AGOSTO,2338
2019,Mata Atlântica,AGOSTO,4689
2020,Mata Atlântica,AGOSTO,4079
1998,Pantanal,AGOSTO,172
1999,Pantanal,AGOSTO,2988
2000,Pantanal,AGOSTO,263
2001,Pantanal,AGOSTO,2540
2002,Pantanal,AGOSTO,2934
2003,Pantanal,AGOSTO,517
2004,Pantanal,AGOSTO,1164
2005,Pantanal,AGOSTO,5993
2006,Pantanal,AGOSTO,892
2007,Pantanal,AGOSTO,1858
2008,Pantanal,AGOSTO,588
2009,Pantanal,AGOSTO,695
2010,Pantanal,AGOSTO,1548
2011,Pantanal,AGOSTO,309
2012,Pantanal,AGOSTO,2698
2013,Pantanal,AGOSTO,440
2014,Pantanal,AGOSTO,134
2015,Pantanal,AGOSTO,1025
2016,Pantanal,AGOSTO,966
2017,Pantanal,AGOSTO,1092
2018,Pantanal,AGOSTO,275
2019,Pantanal,AGOSTO,1690
2020,Pantanal,AGOSTO,5935
1998,Cerrado,AGOSTO,14146
1999,Cerrado,AGOSTO,11933
2000,Cerrado,AGOSTO,6995
2001,Cerrado,AGOSTO,9541
2002,Cerrado,AGOSTO,17815
2003,Cerrado,AGOSTO,10140
2004,Cerrado,AGOSTO,12473
2005,Cerrado,AGOSTO,14627
2006,Cerrado,AGOSTO,11705
2007,Cerrado,AGOSTO,35678
2008,Cerrado,AGOSTO,8643
2009,Cerrado,AGOSTO,6492
2010,Cerrado,AGOSTO,35226
