municipio;codmun;prefeito;partido;classificacao
ÁGUA BRANCA;2500106;EVERTON FIRMINO BATISTA;PMDB;CENTRO
AGUIAR;2500205;LOURIVAL LACERDA LEITE FILHO;PTB;ESQUERDA
ALAGOA GRANDE;2500304;ANTONIO DA SILVA SOBRINHO;PSD;DIREITA
ALAGOA NOVA;2500403;JOSÉ UCHÔA DE AQUINO LEITE;PSDB;CENTRO
ALAGOINHA;2500502;JEOVÁ JOSÉ CORREIA DE OLIVEIRA;PMDB;CENTRO
ALCANTIL;2500536;JOSÉ MILTON RODRIGUES;PRB;DIREITA
ALGODÃO DE JANDAÍRA;2500577;MARICLEIDE IZIDRO DA SILVA;PSD;DIREITA
ALHANDRA;2500601;RENATO MENDES LEITE;DEM;DIREITA
AMPARO;2500734;INÁCIO LUIZ NÓBREGA DA SILVA;DEM;DIREITA
APARECIDA;2500775;JULIO CESAR QUEIROGA DE ARAÚJO;PSD;DIREITA
ARAÇAGI;2500809;MURILIO DA SILVA NUNES;PSB;ESQUERDA
ARARA;2500908;JOSÉ AILTON PEREIRA DA SILVA;PSL;DIREITA
ARARUNA;2501005;VITAL DA COSTA ARAÚJO;PP;DIREITA
AREIA;2501104;JOÃO FRANCISCO BATISTA DE ALBUQUERQUE;PSDB;CENTRO
AREIA DE BARAÚNAS;2501153;MARIA DA GUIA ALVES;DEM;DIREITA
AREIAL;2501203;ADELSON GONÇALVES BENJAMIN;PSDB;CENTRO
AROEIRAS;2501302;MYLTON DOMINGUES DE AGUIAR MARQUES;PSDB;CENTRO
ASSUNÇÃO;2501351;LUIZ WALDVOGEL DE OLIVEIRA SANTOS;PTB;ESQUERDA
BAÍA DA TRAIÇÃO;2501401;EUCLIDES SÉRGIO COSTA DE LIMA JUNIOR;PTB;ESQUERDA
BANANEIRAS;2501500;DOUGLAS LUCENA MOURA DE MEDEIROS;PSB;ESQUERDA
BARAÚNA;2501534;MANASSES GOMES DANTAS;PSB;ESQUERDA
BARRA DE SANTA ROSA;2501609;JOVINO PEREIRA NEPOMUCENO NETO;DEM;DIREITA
BARRA DE SANTANA;2501575;CACILDA FARIAS LOPES DE ANDRADE;PSD;DIREITA
BARRA DE SÃO MIGUEL;2501708;JOÃO BATISTA TRUTA;PSB;ESQUERDA
BAYEUX;2501807;GUTEMBERG DE LIMA DAVI;PTN;DIREITA
BELÉM;2501906;RENATA CHRISTINNE FREITAS DE SOUZA LIMA BARBOSA;PMDB;CENTRO
BELÉM DO BREJO DO CRUZ;2502003;EVANDRO MAIA PIMENTA;PT do B;CENTRO
BERNARDINO BATISTA;2502052;GERVAZIO GOMES DOS SANTOS;PSB;ESQUERDA
BOA VENTURA;2502102;MARIA LEONICE LOPES VITAL;PSD;DIREITA
BOA VISTA;2502151;ANDRE LUIZ GOMES DE ARAUJO;PDT;ESQUERDA
BOM JESUS;2502201;ROBERTO BANDEIRA DE MELO BARBOSA;PSD;DIREITA
BOM SUCESSO;2502300;PEDRO CAETANO SOBRINHO;PTB;DIREITA
BONITO DE SANTA FÉ;2502409;FRANCISCO CARLOS DE CARVALHO;PSB;ESQUERDA
BOQUEIRÃO;2502508;JOAO PAULO BARBOSA LEAL SEGUNDO;PSD;DIREITA
BORBOREMA;2502706;GILENE CÂNDIDO DA SILVA LEITE CARDOSO;PTB;DIREITA
BREJO DO CRUZ;2502805;FRANCISCO DUTRA SOBRINHO;PR;DIREITA
BREJO DOS SANTOS;2502904;LAURI FERREIRA DA COSTA;PSDB;CENTRO
CAAPORÃ;2503001;CRISTIANO FERREIRA MONTEIRO;PDT;ESQUERDA
CABACEIRAS;2503100;TIAGO MARCONE CASTRO DA ROCHA;PSB;ESQUERDA
CABEDELO;2503209;WELLINGTON VIANA FRANÇA;PRP;DIREITA
CACHOEIRA DOS ÍNDIOS;2503308;ALLAN SEIXAS DE SOUSA;PSB;ESQUERDA
CACIMBA DE AREIA;2503407;PAULO ROGÉRIO DE LIRA CAMPOS;PMDB;CENTRO
CACIMBA DE DENTRO;2503506;VALDINELE GOMES COSTA;PSB;ESQUERDA
CACIMBAS;2503555;GERALDO TERTO DA SILVA;PSB;ESQUERDA
CAIÇARA;2503605;HUGO ANTONIO LISBOA ALVES;PSB;ESQUERDA
CAJAZEIRAS;2503704;JOSÉ ALDEMIR MEIRELES DE ALMEIDA;PP;DIREITA
CAJAZEIRINHAS;2503753;FRANCISCO DE ASSIS RODRIGUES DE LIMA;PSB;ESQUERDA
CALDAS BRANDÃO;2503803;NEUMA RODRIGUES DE MOURA SOARES;PMDB;CENTRO
CAMALAÚ;2503902;ALECSANDRO BEZERRA DOS SANTOS;PSDB;CENTRO
CAMPINA GRANDE;2504009;ROMERO RODRIGUES VEIGA;PSDB;CENTRO
CAPIM;2504033;TIAGO ROBERTO LISBOA;PSDB;CENTRO
CARAÚBAS;2504074;JOSE SILVANO FERNANDES DA SILVA;PSB;ESQUERDA
CARRAPATEIRA;2504108;MARINEIDIA DA SILVA PEREIRA;PR;DIREITA
CASSERENGUE;2504157;GENIVAL BENTO DA SILVA;PSDB;CENTRO
CATINGUEIRA;2504207;ODIR PEREIRA BORGES FILHO;PMDB;CENTRO
