year,populcao,pop_perc,pop_prec_sum,eleitores,eleit_perc,eleit_perc_sum,group
2009,12762,0.42,0.42,9369,-0.6,-0.6,Serra Branca
2010,12816,1.02,1.44,9693,3.46,2.86,Serra Branca
2011,12947,0.7,2.14,9602,-0.94,1.92,Serra Branca
2012,13038,0.48,2.62,10079,4.97,6.89,Serra Branca
2013,13101,2.35,4.97,9904,-1.74,5.15,Serra Branca
2014,13409,0.59,5.56,10078,1.76,6.91,Serra Branca
2015,13488,0.56,6.12,9927,-1.5,5.41,Serra Branca
2016,13564,0.54,6.66,9559,-3.71,1.7,Serra Branca
2017,13637,0.51,7.17,9551,-0.08,1.62,Serra Branca
2018,13707,-0.56,6.61,9877,3.41,5.03,Serra Branca
2019,13630,0.51,7.12,9841,-0.36,4.67,Serra Branca
2020,13699,0.4,7.52,10055,2.17,6.84,Serra Branca
2009,16908,1.05,8.57,11927,-0.18,6.66,Sum‚
2010,17085,-6.32,2.25,12353,3.57,10.23,Sum‚
2011,16005,0.84,3.09,12234,-0.96,9.27,Sum‚
2012,16139,0.47,3.56,12777,4.44,13.71,Sum‚
2013,16215,2.34,5.9,12667,-0.86,12.85,Sum‚
2014,16595,0.58,6.48,12772,0.83,13.68,Sum‚
2015,16691,0.56,7.04,12731,-0.32,13.36,Sum‚
2016,16784,0.52,7.56,12143,-4.62,8.74,Sum‚
2017,16872,0.5,8.06,12208,0.54,9.28,Sum‚
2018,16957,-0.55,7.51,12667,3.76,13.04,Sum‚
2019,16864,0.6,8.11,12677,0.08,13.12,Sum‚
2020,16966,0.38,8.49,12965,2.27,15.39,Sum‚
