ano;regiao;estado;cod_municipio;municipio;cod_mesoregiao;cod_microregiao;cod_regiao_imadiata;cod_regiao_intermediaria;Semiárido;valor_bruto_agropecuaria;valor_bruto_industria;valor_bruto_servico;valor_bruto_administracao;valor_bruto_total;impostos;pib_preco_corrente;populacao;pib_per_capita
2016;Nordeste;Paraíba;2500106;Água Branca;2501;25007;250009;2503;Sim;4.429 ;2.721 ;18.732 ;46.057 ;71.939 ;3.182 ;75.121 ;10.172 ;7385,05
2016;Nordeste;Paraíba;2500205;Aguiar;2501;25005;250010;2503;Sim;4.931 ;2.181 ;10.268 ;25.408 ;42.788 ;1.560 ;44.348 ;5.567 ;7966,25
2016;Nordeste;Paraíba;2500304;Alagoa Grande;2503;25015;250005;2502;Sim;16.118 ;11.376 ;75.378 ;123.103 ;225.975 ;13.682 ;239.657 ;28.604 ;8378,43
2016;Nordeste;Paraíba;2500403;Alagoa Nova;2503;25015;250005;2502;Sim;80.031 ;24.667 ;46.472 ;89.564 ;240.734 ;10.124 ;250.857 ;20.596 ;12179,9
2016;Nordeste;Paraíba;2500502;Alagoinha;2503;25016;250002;2501;Sim;8.558 ;3.191 ;22.820 ;61.290 ;95.859 ;3.706 ;99.564 ;14.376 ;6925,74
2016;Nordeste;Paraíba;2500536;Alcantil;2502;25011;250005;2502;Sim;3.994 ;1.383 ;6.694 ;25.987 ;38.057 ;900 ;38.957 ;5.475 ;7115,44
2016;Nordeste;Paraíba;2500577;Algodão de Jandaíra;2503;25012;250005;2502;Sim;1.417 ;675 ;4.344 ;16.145 ;22.580 ;574 ;23.154 ;2.488 ;9306,27
2016;Nordeste;Paraíba;2500601;Alhandra;2504;25023;250001;2501;Não;27.741 ;91.387 ;484.574 ;100.635 ;704.336 ;159.665 ;864.001 ;19.412 ;44508,6
2016;Nordeste;Paraíba;2500700;São João do Rio do Peixe;2501;25002;250015;2504;Sim;9.396 ;6.401 ;59.294 ;78.767 ;153.858 ;14.335 ;168.193 ;17.934 ;9378,44
2016;Nordeste;Paraíba;2500734;Amparo;2502;25010;250008;2502;Sim;1.276 ;1.169 ;4.315 ;14.575 ;21.335 ;643 ;21.979 ;2.229 ;9860,38
2016;Nordeste;Paraíba;2500775;Aparecida;2501;25003;250014;2504;Sim;6.958 ;3.557 ;21.268 ;36.294 ;68.078 ;4.445 ;72.523 ;8.348 ;8687,49
2016;Nordeste;Paraíba;2500809;Araçagi;2503;25016;250002;2501;Sim;25.804 ;5.225 ;31.300 ;74.171 ;136.500 ;5.232 ;141.732 ;17.061 ;8307,35
2016;Nordeste;Paraíba;2500908;Arara;2503;25012;250002;2501;Sim;4.278 ;2.195 ;22.782 ;56.849 ;86.104 ;4.110 ;90.214 ;13.448 ;6708,35
2016;Nordeste;Paraíba;2501005;Araruna;2503;25013;250002;2501;Sim;10.350 ;5.936 ;42.079 ;90.217 ;148.582 ;6.310 ;154.892 ;20.237 ;7653,89
2016;Nordeste;Paraíba;2501104;Areia;2503;25015;250005;2502;Sim;23.120 ;15.306 ;61.523 ;93.526 ;193.475 ;14.275 ;207.750 ;22.940 ;9056,24
2016;Nordeste;Paraíba;2501153;Areia de Baraúnas;2501;25004;250009;2503;Sim;658 ;526 ;2.733 ;12.855 ;16.771 ;343 ;17.114 ;2.137 ;8008,34
2016;Nordeste;Paraíba;2501203;Areial;2503;25014;250005;2502;Sim;1.622 ;1.464 ;12.003 ;33.955 ;49.044 ;2.049 ;51.093 ;6.938 ;7364,21
2016;Nordeste;Paraíba;2501302;Aroeiras;2503;25019;250005;2502;Sim;8.231 ;3.793 ;34.024 ;85.774 ;131.822 ;5.303 ;137.125 ;19.178 ;7150,1
2016;Nordeste;Paraíba;2501351;Assunção;2502;25010;250005;2502;Sim;1.912 ;2.727 ;8.631 ;20.015 ;33.286 ;1.688 ;34.973 ;3.876 ;9023,06
2016;Nordeste;Paraíba;2501401;Baía da Traição;2504;25020;250003;2501;Não;14.355 ;2.162 ;18.541 ;39.789 ;74.848 ;2.558 ;77.405 ;8.951 ;8647,69
2016;Nordeste;Paraíba;2501500;Bananeiras;2503;25015;250002;2501;Sim;58.806 ;10.370 ;55.043 ;96.499 ;220.719 ;7.867 ;228.586 ;21.195 ;10784,91
2016;Nordeste;Paraíba;2501534;Baraúna;2502;25009;250006;2502;Sim;1.061 ;909 ;9.656 ;23.767 ;35.393 ;1.736 ;37.129 ;4.843 ;7666,51
2016;Nordeste;Paraíba;2501575;Barra de Santana;2502;25011;250005;2502;Sim;6.912 ;2.045 ;10.420 ;38.909 ;58.286 ;1.669 ;59.954 ;8.245 ;7271,61
2016;Nordeste;Paraíba;2501609;Barra de Santa Rosa;2503;25012;250006;2502;Sim;9.127 ;3.283 ;28.958 ;67.335 ;108.703 ;5.364 ;114.067 ;15.286 ;7462,16
2016;Nordeste;Paraíba;2501708;Barra de São Miguel;2502;25011;250005;2502;Sim;6.657 ;1.414 ;7.473 ;27.857 ;43.401 ;1.327 ;44.728 ;5.943 ;7526,2
2016;Nordeste;Paraíba;2501807;Bayeux;2504;25022;250001;2501;Não;7.711 ;121.762 ;554.025 ;412.075 ;1.095.574 ;130.835 ;1.226.409 ;96.583 ;12697,98
2016;Nordeste;Paraíba;2501906;Belém;2503;25016;250002;2501;Sim;5.824 ;13.778 ;47.444 ;73.102 ;140.148 ;14.105 ;154.253 ;17.640 ;8744,48
