periodo;amazonia;pampa;caatinga;mata_atlantica;pantanal;cerrado
1999-01-01;160;46;227;299;161;188
1999-02-01;358;19;155;273;10;469
1999-03-01;130;35;93;310;17;82
1999-04-01;70;10;63;163;29;382
1999-05-01;449;8;24;368;106;856
1999-06-01;3675;7;203;563;845;3465
1999-07-01;1439;6;62;303;65;1757
1999-08-01;21525;7;458;2581;2988;11933
1999-09-01;16106;8;1117;3306;1922;14455
1999-10-01;12794;51;2080;1688;2049;8354
1999-11-01;4449;31;984;1222;743;1434
1999-12-01;1703;1053;566;520;52;475
2000-01-01;87;74;16;241;93;266
2000-02-01;182;33;41;186;30;89
2000-03-01;405;10;68;219;19;114
2000-04-01;92;1;56;135;1;253
2000-05-01;930;3;38;204;8;914
2000-06-01;3211;0;46;432;29;2556
2000-07-01;1510;4;73;598;25;2530
2000-08-01;12791;10;399;1746;263;6995
2000-09-01;10062;7;1504;1100;503;10117
2000-10-01;10226;5;4744;2369;950;9038
2000-11-01;5497;4;1224;230;295;1149
2000-12-01;3175;60;546;237;74;372
2001-01-01;165;7;40;87;66;182
2001-02-01;699;32;38;120;62;109
2001-03-01;1134;8;5;40;11;69
2001-04-01;617;2;30;92;36;304
2001-05-01;916;4;205;185;67;713
2001-06-01;4227;1;108;244;219;3606
2001-07-01;1816;6;390;590;444;3242
2001-08-01;17679;24;895;1159;2540;9541
2001-09-01;15528;0;3996;1418;2264;16623
2001-10-01;14292;12;7157;997;879;7702
2001-11-01;8346;23;4767;495;175;1834
2001-12-01;4256;35;970;311;19;609
2002-01-01;590;213;93;251;137;368
2002-02-01;667;30;263;226;28;355
2002-03-01;901;19;148;209;10;391
2002-04-01;405;2;123;352;24;777
2002-05-01;1490;4;146;263;29;1884
2002-06-01;5702;2;125;485;320;4210
2002-07-01;7529;178;277;1829;805;7462
2002-08-01;43484;379;1252;6548;2934;17815
2002-09-01;48549;238;5099;6764;2662;30105
2002-10-01;27110;18;7728;4897;2761;16744
2002-11-01;23660;18;6193;2441;2328;5273
2002-12-01;9174;20;3975;1673;448;1802
2003-01-01;3704;41;967;1151;180;654
2003-02-01;1573;8;201;683;48;587
2003-03-01;1997;19;191;834;36;472
2003-04-01;1038;63;187;1263;40;1052
2003-05-01;1983;79;60;1744;107;2475
2003-06-01;6848;47;108;2500;170;7079
2003-07-01;15918;252;340;3144;260;10477
2003-08-01;34765;736;1020;9826;517;10140
2003-09-01;47789;357;7234;11963;1188;29227
2003-10-01;25341;121;8722;7588;715;15008
2003-11-01;19631;51;8451;2148;378;4763
2003-12-01;13813;24;5292;1589;83;2179
2004-01-01;2178;38;458;572;185;452
2004-02-01;805;62;94;469;126;376
2004-03-01;1035;163;104;712;141;773
2004-04-01;1012;121;93;692;68;970
2004-05-01;3131;55;115;318;15;2975
2004-06-01;9179;140;83;1335;240;7047
2004-07-01;19179;232;199;1558;384;8804
2004-08-01;43320;356;976;5778;1164;12473
2004-09-01;71522;157;4848;7396;3963;33509
2004-10-01;23928;252;7707;5344;1912;15148
2004-11-01;26424;49;7689;2624;335;8243
2004-12-01;16924;52;7400;1317;155;2792
2005-01-01;4314;102;1283;752;20;587
2005-02-01;1048;32;264;578;107;869
2005-03-01;758;131;137;867;100;536
2005-04-01;832;61;65;551;163;1071
2005-05-01;1746;74;49;907;331;1968
2005-06-01;2954;63;80;939;435;3383
2005-07-01;19364;153;287;1721;1259;7454
2005-08-01;63764;241;610;5494;5993;14627
2005-09-01;68560;122;3623;2632;2997;24521
2005-10-01;26624;46;8151;5719;933;23550
2005-11-01;16790;67;7067;2331;125;5251
2005-12-01;6966;46;4533;785;73;1930
2006-01-01;1973;29;884;617;28;1001
2006-02-01;879;35;227;783;51;413
2006-03-01;903;82;164;744;36;498
2006-04-01;709;111;65;781;19;584
2006-05-01;843;175;31;1510;104;1650
2006-06-01;2522;78;52;1433;101;3415
2006-07-01;6995;188;137;3651;375;6442
2006-08-01;34208;321;697;6807;892;11705
2006-09-01;51028;187;2550;5120;1024;16566
2006-10-01;18309;62;3998;1884;266;7524
2006-11-01;17474;42;5253;1006;254;5274
2006-12-01;8579;26;4432;547;23;1808
2007-01-01;1918;18;1123;400;6;755
2007-02-01;1761;17;118;450;13;402
2007-03-01;1431;22;67;672;30;1118
2007-04-01;760;60;129;569;68;964
2007-05-01;1176;63;149;710;101;2924
2007-06-01;3519;111;264;1532;239;7051
2007-07-01;6196;201;704;1940;341;10548
2007-08-01;46385;231;1878;5055;1858;35678
2007-09-01;73141;192;5239;7170;5498;49980
2007-10-01;28731;42;8515;6451;1481;22008
2007-11-01;16025;46;6939;3283;189;4939
2007-12-01;5437;42;4266;979;45;1551
2008-01-01;938;41;873;490;14;421
2008-02-01;527;28;335;527;13;321
2008-03-01;860;43;147;478;20;339
2008-04-01;569;135;95;489;28;590
2008-05-01;383;127;54;1019;48;1320
2008-06-01;1248;84;63;523;44;2632
2008-07-01;5901;129;118;2436;216;5229
2008-08-01;21445;113;433;3209;588;8643
2008-09-01;26469;83;2888;4094;1660;15477
2008-10-01;23518;78;6135;3983;1046;17024
2008-11-01;15450;35;7325;2154;274;5486
2008-12-01;6145;52;5255;930;594;1452
2009-01-01;1095;52;1164;507;380;676
2009-02-01;354;18;171;333;117;403
2009-03-01;584;42;227;619;71;461
2009-04-01;435;168;54;660;525;448
2009-05-01;673;174;15;625;815;836
2009-06-01;1023;83;53;687;308;1641
2009-07-01;2327;129;110;723;311;4224
2009-08-01;9732;373;292;4198;695;6492
2009-09-01;20527;34;2746;1831;1127;9851
2009-10-01;19323;71;3059;2317;919;5526
2009-11-01;19104;2;4866;815;414;4195
2009-12-01;6505;6;3936;626;55;1146
2010-01-01;1697;33;668;537;31;717
2010-02-01;1147;17;290;657;47;751
2010-03-01;1176;34;292;390;88;883
2010-04-01;633;67;69;387;87;1438
2010-05-01;1026;23;142;430;67;2508
2010-06-01;1911;29;166;1099;247;6443
2010-07-01;5868;80;494;1718;511;12359
2010-08-01;45018;272;1907;6473;1548;35226
2010-09-01;43933;132;4376;5026;3072;52491
2010-10-01;14798;92;5829;2562;1142;14419
2010-11-01;12167;82;5960;835;385;4623
2010-12-01;5240;95;1599;496;795;1536
2011-01-01;771;22;221;274;145;456
2011-02-01;271;16;135;363;22;321
2011-03-01;427;36;170;323;2;308
2011-04-01;465;77;116;254;2;703
2011-05-01;528;73;76;552;20;1376
2011-06-01;1083;86;183;855;42;3378
2011-07-01;2445;96;306;1450;105;5366
2011-08-01;8002;130;862;3191;309;11387
2011-09-01;16987;233;3486;7050;807;26468
2011-10-01;9760;37;3489;1836;562;7656
2011-11-01;9815;75;4271;618;873;2889
2011-12-01;7632;50;3246;444;643;1374
2012-01-01;1203;61;788;317;188;421
2012-02-01;438;34;243;455;83;478
2012-03-01;484;71;404;690;97;764
2012-04-01;473;36;259;609;38;1092
2012-05-01;855;151;283;687;115;1896
2012-06-01;1875;159;370;500;109;3817
2012-07-01;3095;220;649;1052;490;9362
2012-08-01;20687;165;1829;2810;2698;22737
2012-09-01;24067;62;3626;3082;2518;30053
2012-10-01;14814;40;4582;3077;832;16515
2012-11-01;13259;42;2063;763;157;1830
2012-12-01;5469;12;1621;660;122;1635
2013-01-01;1181;28;340;412;108;475
2013-02-01;374;46;207;430;55;604
2013-03-01;738;50;219;549;115;613
2013-04-01;518;57;71;488;51;706
2013-05-01;796;32;73;478;47;1418
2013-06-01;1450;33;125;356;17;2684
2013-07-01;2531;95;191;1087;129;4761
2013-08-01;9444;189;561;2280;440;8496
2013-09-01;16786;126;2452;2839;1201;12615
2013-10-01;10242;59;2164;1454;544;7696
2013-11-01;6615;59;1889;509;513;2370
2013-12-01;8013;27;1567;506;176;1579
2014-01-01;1573;19;360;423;103;567
2014-02-01;473;17;68;437;64;315
2014-03-01;1010;39;104;256;23;497
2014-04-01;632;50;73;317;55;897
2014-05-01;673;50;74;445;16;1673
2014-06-01;1628;53;168;487;27;3849
2014-07-01;2766;74;414;965;90;6220
2014-08-01;20113;254;907;3912;134;15525
2014-09-01;20522;57;2079;3493;375;15523
2014-10-01;13222;39;2324;4171;459;16357
2014-11-01;12169;35;1762;432;184;3085
2014-12-01;7773;21;1163;366;37;1363
2015-01-01;2042;14;428;642;95;1096
2015-02-01;1047;18;138;389;51;383
2015-03-01;572;48;99;384;28;528
2015-04-01;762;142;86;371;29;634
2015-05-01;407;122;81;349;36;1174
2015-06-01;1287;57;155;539;218;3313
2015-07-01;2817;24;285;528;225;4662
2015-08-01;20471;86;1203;2414;1025;12684
2015-09-01;29326;139;4079;3219;1181;23795
2015-10-01;19469;47;3909;2991;794;19531
2015-11-01;16935;12;2599;1852;282;4731
2015-12-01;11303;21;2071;1251;494;2563
2016-01-01;4657;37;258;579;37;392
2016-02-01;1559;33;112;457;29;1048
2016-03-01;2024;24;56;536;18;767
2016-04-01;1075;23;95;732;34;1449
2016-05-01;895;34;80;437;59;1782
