ano,Target,Measure,Dim
2009,8345.03,6964.36,Ciências agrárias
2009,8038.97,7281.53,Ciências biológicas
2009,8708.19,7693.82,Ciências da saúde
2009,8312.73,7400.34,Ciências exatas e da terra
2009,8116.82,7410.17,Ciências humanas
2009,11425.34,8555.15,Ciências sociais aplicadas
2009,9450.17,7978.77,Engenharias
2009,7333.08,7026.13,Linguística e artes
2009,8719.23,7512.50,Multidisciplinar
2010,10560.57,8719.07,Ciências agrárias
2010,9923.44,8934.28,Ciências biológicas
2010,10405.34,9327.79,Ciências da saúde
2010,10421.17,9315.25,Ciências exatas e da terra
2010,10124.92,9331.11,Ciências humanas
2010,13124.58,10140.23,Ciências sociais aplicadas
2010,11563.67,9589.47,Engenharias
2010,9328.91,8773.11,Linguística e artes
2010,10254.53,8798.92,Multidisciplinar
2011,11123.31,9138.85,Ciências agrárias
2011,10319.47,9406.88,Ciências biológicas
2011,11008.62,9820.32,Ciências da saúde
2011,10894.12,9728.45,Ciências exatas e da terra
2011,10601.91,9730.72,Ciências humanas
2011,13770.56,10797.07,Ciências sociais aplicadas
2011,12176.04,10330.49,Engenharias
2011,9869.73,9390.42,Linguística e artes
2011,10723.56,9260.91,Multidisciplinar
2012,12339.36,10062.64,Ciências agrárias
2012,10942.13,9881.84,Ciências biológicas
2012,11426.89,10101.42,Ciências da saúde
2012,11321.23,10179.58,Ciências exatas e da terra
2012,10904.99,10089.69,Ciências humanas
2012,14150.11,10987.82,Ciências sociais aplicadas
2012,12634.92,10724.02,Engenharias
2012,10221.33,9664.23,Linguística e artes
2012,11186.23,9948.41,Multidisciplinar
2013,13008.15,10638.44,Ciências agrárias
2013,11927.52,10771.02,Ciências biológicas
2013,12443.91,11071.81,Ciências da saúde
2013,12595.00,11356.32,Ciências exatas e da terra
2013,11957.03,11028.04,Ciências humanas
2013,15152.97,12242.53,Ciências sociais aplicadas
2013,13968.58,11920.51,Engenharias
2013,11461.10,10951.56,Linguística e artes
2013,12089.20,10879.22,Multidisciplinar
2014,14159.57,11566.44,Ciências agrárias
2014,12910.82,11626.24,Ciências biológicas
2014,13374.39,11869.04,Ciências da saúde
2014,13938.11,12485.01,Ciências exatas e da terra
2014,13076.89,12071.79,Ciências humanas
2014,16018.86,12959.64,Ciências sociais aplicadas
2014,15323.25,12848.22,Engenharias
2014,12617.98,12056.76,Linguística e artes
2014,13173.59,11630.65,Multidisciplinar
2015,14818.52,12056.25,Ciências agrárias
2015,13438.88,12142.41,Ciências biológicas
2015,13979.55,12372.65,Ciências da saúde
2015,14553.41,13015.55,Ciências exatas e da terra
2015,13769.66,12706.72,Ciências humanas
2015,16989.39,13555.81,Ciências sociais aplicadas
2015,15916.27,13348.37,Engenharias
2015,13131.19,12472.90,Linguística e artes
2015,13742.31,12041.40,Multidisciplinar
2016,15779.88,12860.58,Ciências agrárias
2016,14384.78,12894.96,Ciências biológicas
2016,14904.35,13157.60,Ciências da saúde
2016,15539.89,13997.92,Ciências exatas e da terra
2016,14556.88,13492.37,Ciências humanas
2016,17854.88,14262.43,Ciências sociais aplicadas
2016,16834.48,14296.54,Engenharias
2016,13885.01,13325.80,Linguística e artes
2016,14465.56,12683.18,Multidisciplinar
2017,16510.94,13446.77,Ciências agrárias
2017,14923.49,13213.80,Ciências biológicas
2017,15395.57,13489.05,Ciências da saúde
2017,16485.89,14743.93,Ciências exatas e da terra
2017,15314.64,14223.47,Ciências humanas
2017,18410.91,14809.67,Ciências sociais aplicadas
2017,17713.37,15002.05,Engenharias
2017,14604.66,14108.14,Linguística e artes
2017,15204.33,13102.54,Multidisciplinar
