ano,percentual_mul,salario_homens,salario_mulheres,area_conhecimento
2009,83.4551881405741,8345.03311043448,6964.3630827063,Agrarian Sciences
2009,90.5779344539312,8038.96902803738,7281.53209698753,Biological Sciences
2009,88.3515806689416,8708.19006093673,7693.82356649327,Health Sciences
2009,89.0242065537435,8312.73209469892,7400.3437902441,Exact and earth sciences
2009,91.2940312151055,8116.81525289074,7410.16785064652,Human sciences
2009,74.8787603304357,11425.340849028,8555.15359127904,Applied social sciences
2009,84.4298718433568,9450.16958738129,7978.7660716059,Engineering
2009,95.814085421564,7333.0827198364,7026.126141218,Linguistics and arts
2009,86.1601103802114,8719.23372892348,7512.50140514909,Multidisciplinar
2010,82.5624605762108,10560.5686375715,8719.06531801865,Agrarian Sciences
2010,90.0321265450414,9923.43729014396,8934.28161868024,Biological Sciences
2010,89.644210456983,10405.3437404919,9327.78824149907,Health Sciences
2010,89.3877819404877,10421.1710549907,9315.25365828031,Exact and earth sciences
2010,92.1598845703586,10124.9191196943,9331.11377355243,Human sciences
2010,77.2613540054528,13124.580152744,10140.2283335409,Applied social sciences
2010,82.9276305846641,11563.6654714796,9589.47378423496,Engineering
2010,94.042142867724,9328.91098540875,8773.1077969009,Linguistics and arts
2010,85.8052433053182,10254.5262691571,8798.92121505802,Multidisciplinar
2011,82.1594191422439,11123.3099854928,9138.8468734721,Agrarian Sciences
2011,91.156679725995,10319.4679656539,9406.88436287778,Biological Sciences
2011,89.2057706526416,11008.6166463662,9820.32131758596,Health Sciences
2011,89.2999761091419,10894.1216913087,9728.44806763951,Exact and earth sciences
2011,91.782729202961,10601.9114107807,9730.72364049467,Human sciences
2011,78.4069261803287,13770.5563302866,10797.0699365084,Applied social sciences
2011,84.8427675974414,12176.0362483429,10330.4861367618,Engineering
2011,95.1436184033406,9869.73435845588,9390.42239543266,Linguistics and arts
2011,86.3604362383512,10723.5605127217,9260.91363907003,Multidisciplinar
2012,81.5491475788924,12339.3557924377,10062.6394654596,Agrarian Sciences
2012,90.3100748141426,10942.1257045476,9881.84191003447,Biological Sciences
2012,88.4003802825761,11426.8938714233,10101.4176368246,Health Sciences
2012,89.9158224646738,11321.2309563185,10179.577927499,Exact and earth sciences
2012,92.5235481968866,10904.9926191405,10089.6861018374,Human sciences
2012,77.6518662794842,14150.1084950235,10987.8233269576,Applied social sciences
2012,84.8760301847124,12634.9226690562,10724.0207784032,Engineering
2012,94.549550365158,10221.3339574749,9664.22529811373,Linguistics and arts
2012,88.9344497899296,11186.2259264978,9948.40847998927,Multidisciplinar
2013,81.7828697429617,13008.1528473028,10638.440699075,Agrarian Sciences
